episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.22518012499494944,True,False
2,460.0,702,1087,0.2,0.025979083692866632,1.0046118329992169,True,False
3,430.0,506,1593,0.2,0.02794830399055738,5.221816582998144,True,False
4,680.0,920,2513,0.2,0.026409307358983863,13.06659266600036,True,False
5,470.0,483,2996,0.2,0.024370812209157565,17.317833458000678,True,False
6,550.0,464,3460,0.2,0.028140578480439406,21.291913499997463,True,False
7,510.0,614,4074,0.2,0.03322126369792481,26.47712954099552,True,False
8,710.0,713,4787,0.2,0.036131166873939254,32.605268832994625,True,False
9,640.0,633,5420,0.2,0.03579990391593145,36.3223360829943,True,False
10,890.0,810,6230,0.2,0.03399888998805776,41.08983499999886,True,False
11,1480.0,909,7139,0.2,0.03822238504115311,46.789987165997445,True,False
12,540.0,719,7858,0.2,0.04034041892866501,51.40585645799729,True,False
13,1230.0,814,8672,0.2,0.04103933856423086,55.58297591599694,True,False
14,310.0,404,9076,0.2,0.03783368212655002,57.49087729099847,True,False
15,1070.0,820,9896,0.2,0.03639963011529933,62.54573962499853,True,False
16,1480.0,971,10867,0.2,0.04191780268178083,71.20408237499942,True,False
17,790.0,788,11655,0.2,0.04597041800117054,76.63707716600038,True,False
18,760.0,676,12331,0.2,0.0431971628378702,80.96116424999491,True,False
19,1310.0,747,13078,0.2,0.0432251868271493,84.98651220800093,True,False
20,830.0,793,13871,0.2,0.04463107886399622,90.96684991599614,True,False
21,330.0,411,14282,0.2,0.04614237416987714,93.14667887499672,True,False
22,280.0,347,14629,0.2,0.047477920957166575,94.80070879100094,True,False
23,2080.0,653,15282,0.2,0.04837267511764233,97.76883049999742,True,False
24,1290.0,644,15926,0.2,0.045558335013710746,101.66325449999567,True,False
25,310.0,334,16260,0.2,0.04945635519799821,103.41522695800086,True,False
